name,cost,brand,color
Nintendo - Switch OLED White + Nintendo Switch Sports BUNDLE,NaN,,White
Nintendo - Switch OLED White + Paper Mario Origami BUNDLE,NaN,,White
Nintendo - Switch OLED White + Pokemon Acreus BUNDLE,NaN,,White
Nintendo - Switch OLED White + Pokemon Scarlet BUNDLE,NaN,,White
Nintendo - Switch OLED White + Super Mario 3D World Bowsers Fury BUNDLE,NaN,,White
Nintendo - Switch OLED White + Super Mario Maker 2 BUNDLE,NaN,,White
Nintendo - Switch OLED White + Super Mario Odyssey BUNDLE,NaN,,White
Nintendo - Switch OLED White + Super Mario RPG BUNDLE,NaN,,White
Nintendo - Switch OLED White + Super Mario Wonder BUNDLE,NaN,,White
Nintendo - Switch OLED White + Super Smash Bros BUNDLE,NaN,,White
Nintendo - Switch OLED White + Zelda Tears of the Kingdom BUNDLE,NaN,,White
Sony - PlayStation 5 Console SLIM - Call of Duty Modern Warfare III Bundle (Full Game Download Included) - White,NaN,PlayStation,White
Sony - PlayStation 5 Console SLIM - Call of Duty Modern Warfare III Bundle (Full Game Download Included) Bundle With Accessories,NaN,,White
Sony - PlayStation 5 Console SLIM - Marvel's Spider-Man 2 Bundle (Full Game Download Included) Bundle With Accessories,NaN,,White
Sony - PlayStation 5 Slim Console Digital Edition - White,NaN,PlayStation,White
Sony - PlayStation 5 Slim Console Digital Edition - White Bundle With Accessories,NaN,,White
"iBUYPOWER SlateMesh A7N4701 Liquid Cooled Gaming Desktop Computer, AMD Ryzen 7 7700X 4.5GHz, 32GB RAM, 2TB SSD, NVIDIA GeForce RTX 4070 12GB, Windows 11 Home",NaN,iBUYPOWER,
"iBUYPOWER Y60BI9N46T01 Liquid Cooled Gaming Desktop Computer, Intel Core i9-13900KF 3.0GHz, 32GB RAM, 2TB SSD, NVIDIA GeForce RTX 4060 Ti 8GB, Windows 11 Home",NaN,iBUYPOWER,
"iBUYPOWER SlateMR 291i Gaming Desktop Computer, Intel Core i7-12700F 2.1GHz, 16GB RAM, 1TB SSD, NVIDIA GeForce RTX 3060 Ti 8GB, Windows 11 Home",NaN,iBUYPOWER,
"iBUYPOWER Y40WI7N4701 Liquid Cooled Gaming Desktop Computer, Intel Core i7-13700F 2.1GHz, 32GB RAM, 2TB SSD, NVIDIA GeForce RTX 4070 12GB, Windows 11 Home",NaN,iBUYPOWER,
"iBUYPOWER Y40WI7N47T01 Gaming Desktop Computer, Intel Core i7-14700KF 3.4GHz, 32GB RAM, 2TB SSD, NVIDIA GeForce RTX 4070 Ti 12GB, Windows 11 Home, White",NaN,iBUYPOWER,
PS5 Dual Sense - Camo,NaN,,Camouflage - Gray
